APPIC Number,Site / Department,URL,Location,Application Due Date,Program,Last Updated
1692, Aurora Mental Health and Recovery/Psychology Internship Program,https://membership.appic.org/directory/display/741,"Aurora, CO, USA",11/01/2025 11:59 PM EST,Internship,7/31/2025
1165, Children's Hospital Stanford/Children's Health Council/Division of Child and Adolescent Psychiatry,https://membership.appic.org/directory/display/183,"Stanford, CA, USA",11/03/2025 11:59 PM EST,Internship,7/25/2025
2095,Access Institute for Psychological Services/Psychology,https://membership.appic.org/directory/display/475,"San Francisco, CA, USA",11/17/2025 11:59 PM EST,Internship,12/9/2025
2566,Achieve Behavioral Health/Psychology,https://membership.appic.org/directory/display/2904,"Monsey, NY, USA",11/21/2025 11:59 PM EST,Internship,7/31/2025
1708,AHRC New York City/Family and Clinical Services,https://membership.appic.org/directory/display/158,"New York, NY, USA",11/15/2025 11:59 PM EST,Internship,7/24/2025
2629,Akron Children's Hospital/Division of Psychology- Department of Psychiatry and Behavioral Health ,https://membership.appic.org/directory/display/3095,"Akron, OH, USA",11/01/2025 11:59 PM EST,Internship,7/18/2025
1443,Albert Einstein College of Medicine/Montefiore Medical Center/Department of Psychiatry and Behavioral Sciences,https://membership.appic.org/directory/display/738,"Bronx, NY, USA",11/03/2025 11:59 PM EST,Internship,10/30/2025
1792,Allina Health Psychology Internship Program/Allina Health Mental Health and Addiction Services,https://membership.appic.org/directory/display/1549,"Fridley, MN, USA",11/07/2025 11:59 PM EST,Internship,7/30/2025
1498,Andrus /Psychology Department,https://membership.appic.org/directory/display/22,"Yonkers, NY, USA",11/15/2026 11:59 PM EST,Internship,1/14/2026
1257,Ann & Robert H. Lurie Children's Hospital of Chicago (formerly Children's Memorial Hospital)/Department of Child and Adolescent Psychiatry #10,https://membership.appic.org/directory/display/297,"Chicago, IL, USA",11/01/2025 11:59 PM EST,Internship,7/31/2025
1506,"Applewood Centers, Inc./Psychology",https://membership.appic.org/directory/display/847,"Cleveland, OH, USA",11/07/2025 11:59 PM EST,Internship,10/30/2025
2136,Asian Americans for Community Involvement (AACI)/Behavioral Health ,https://membership.appic.org/directory/display/624,"San Jose, CA, USA",11/04/2025 11:59 PM EST,Internship,10/3/2025
1336,"Aspire Health Alliance (formerly South Shore Mental Health Center, Inc.)/Doctoral Internship Program",https://membership.appic.org/directory/display/544,"Braintree, MA, USA",11/05/2024 11:59 PM EST,Internship,12/3/2024
1488,Astor Services/Clinical,https://membership.appic.org/directory/display/270,"Rhinebeck, NY, USA",11/07/2025 11:59 PM EST,Internship,7/31/2025
2440,Auburn University/Student Counseling & Psychological Services,https://membership.appic.org/directory/display/2308,"Auburn, AL, USA",11/15/2025 11:59 PM EST,Internship,11/10/2025
2545,"Audrey Hepburn Children's House / Hackensack University Medical Center/Pediatrics, Hackensack University Medical Center",https://membership.appic.org/directory/display/2727,"Hackensack, NJ, USA",12/15/2025 11:59 PM EST,Internship,11/17/2025
2316,Avondale Elementary School District/Psychology,https://membership.appic.org/directory/display/1355,"Avondale, AZ, USA",12/01/2025 11:59 PM EST,Internship,8/29/2025
1785,"Baruch College, City University of New York/Counseling Center",https://membership.appic.org/directory/display/312,"New York, NY, USA",11/01/2023 11:59 PM EST,Internship,6/23/2025
1948,"Baylor College of Medicine/Texas Children's Hospital/Psychology Division, Department of Pediatrics",https://membership.appic.org/directory/display/459,"Houston, TX, USA",11/01/2025 11:59 PM EST,Internship,10/15/2025
2585,Bio Behavioral Institute/Bio Behavioral Institute,https://membership.appic.org/directory/display/3010,"Great Neck, NY , NY, USA",01/07/2026 11:59 PM EST,Internship,11/30/2025
2621,Boston Public Schools/Behavioral Health Services,https://membership.appic.org/directory/display/3025,"Dorchester, MA, USA",11/07/2025 11:59 PM EST,Internship,9/29/2025
2416,Brain and Body Integration-Colorado Springs/Brain and Body Integration,https://membership.appic.org/directory/display/2054,"COLORADO SPRINGS, CO, USA",06/30/2026 11:59 PM EST,Internship,10/26/2025
2417,Brain and Body Integration-Denver/Psychology,https://membership.appic.org/directory/display/2093,"Denver, CO, USA",07/17/2026 11:59 PM EST,Internship,10/26/2025
2626,"Bridges of the Mind Psychological Services, Inc./Bridges of the Mind Psychological Services, Inc.",https://membership.appic.org/directory/display/3286,"Sacramento, CA, USA",12/05/2025 11:59 PM EST,Internship,10/28/2025
1334,Cambridge Health Alliance /Harvard Medical School/Division of Psychology/Department of Psychiatry,https://membership.appic.org/directory/display/376,"Cambridge, MA, USA",11/01/2025 11:59 PM EST,Internship,8/22/2025
1384,"Canvas Health, formerly known as Human Services Inc. (HSI)/Psychological Services",https://membership.appic.org/directory/display/91,"Oakdale, MN, USA",11/21/2025 11:59 PM EST,Internship,9/16/2025
2612,CARE Counseling/CARE Counseling Internship Program,https://membership.appic.org/directory/display/3222,"St. Louis Park, MN, USA",12/01/2024 11:59 PM EST,Internship,3/4/2025
2472,CARES/Clinical Program,https://membership.appic.org/directory/display/2185,"New York, NY, USA",11/21/2025 11:59 PM EST,Internship,10/30/2025
2665,"Caring Hands & Open Hearts, LLC/CHOH - Service Provision",https://membership.appic.org/directory/display/3458,"Douglasville, GA, USA",12/31/2025 11:59 PM EST,Internship,1/12/2026
2471,Center for Anxiety/Center For Anxiety,https://membership.appic.org/directory/display/2599,"New York, NY, USA",11/01/2025 11:59 PM EST,Internship,11/25/2025
1967,Centerstone Consortium/Psychology Department,https://membership.appic.org/directory/display/496,"Bradenton, FL, USA",11/17/2025 11:59 PM EST,Internship,11/25/2025
2602,Centra /Behavioral Health ,https://membership.appic.org/directory/display/3131,"Lynchburg, VA, USA",12/19/2025 11:59 PM EST,Internship,12/11/2025
2654,Central Focus Psychological Group/Central Focus Psychological Group Clinical Training Program,https://membership.appic.org/directory/display/3065,"Colorado Springs, CO, USA",11/28/2025 11:59 PM EST,Internship,8/25/2025
2330,Central New York Psychiatric Center Doctoral Internship in Health Service Psychology/Psychology,https://membership.appic.org/directory/display/2055,"Marcy, NY, USA",11/16/2025 11:59 PM EST,Internship,10/31/2025
1908,Central Regional Hospital/Department of Psychology,https://membership.appic.org/directory/display/388,"Butner, NC, USA",11/01/2025 11:59 PM EST,Internship,11/5/2025
2587,Central Valley Behavioral Health/Ascend Behavioral Health,https://membership.appic.org/directory/display/3050,"Fresno, CA, USA",12/08/2025 11:59 PM EST,Internship,11/19/2025
1552,Charleston Consortium Internship/Psychiatry & Behavioral Sciences,https://membership.appic.org/directory/display/293,"Charleston, SC, USA",11/01/2025 11:59 PM EST,Internship,7/24/2025
2588,Chatham University - Excela Health System Consortium/Counseling Center,https://membership.appic.org/directory/display/2993,"Pittsburgh, PA, USA",11/30/2024 11:59 PM EST,Internship,6/27/2025
1673,Chicago Area Christian Training Consortium/Internship in Health Service Psychology,https://membership.appic.org/directory/display/113,"Carol Stream, IL, USA",11/01/2025 11:59 PM EST,Internship,9/12/2025
1502,Child and Adolescent Behavioral Health /CMHC/Child Facility,https://membership.appic.org/directory/display/771,"Canton, OH, USA",11/15/2025 11:59 PM EST,Internship,7/31/2025
1143,Child and Family Guidance Center/Training Program,https://membership.appic.org/directory/display/562,"Northridge, CA, USA",11/22/2025 11:59 PM EST,Internship,7/29/2025
1605,Child Guidance Center of Southern Connecticut/Psychology,https://membership.appic.org/directory/display/618,"Stamford, CT, USA",11/02/2025 11:59 PM EST,Internship,10/6/2025
1306,"Children's Healthcare of Atlanta Doctoral Internship in Health Service Psychology at Emory University School of Medicine, Department of Pediatrics/Doctoral Psychology Internship",https://membership.appic.org/directory/display/577,"Atlanta, GA, USA",11/01/2025 11:59 PM EST,Internship,8/20/2025
1171,Children's Hospital Colorado/Pediatric Mental Health Institute,https://membership.appic.org/directory/display/462,"Aurora, CO, USA",11/01/2025 11:59 PM EST,Internship,11/3/2025
1137,Children's Hospital Los Angeles/Childrens Hospital Los Angeles - University of Southern California,https://membership.appic.org/directory/display/395,"Los Angeles, CA, USA",11/01/2025 11:59 PM EST,Internship,6/20/2025
1362,Children's Hospital of Michigan/Department Child Psychiatry & Psychology ,https://membership.appic.org/directory/display/289,"Detroit, MI, USA",11/08/2025 11:59 PM EST,Internship,11/7/2025
1146,Children's Hospital of Orange County/Department of Pediatric Psychology,https://membership.appic.org/directory/display/336,"Orange, CA, USA",11/01/2025 11:59 PM EST,Internship,7/31/2025
1538,Children's Hospital of Philadelphia/Department of Child and Adolescent Psychiatry and Behavioral Sciences,https://membership.appic.org/directory/display/705,"Philadelphia, PA, USA",11/02/2025 11:59 PM EST,Internship,8/1/2025
1187,Children's National Hospital/Department of Psychology,https://membership.appic.org/directory/display/841,"Washington, DC, USA",11/01/2025 11:59 PM EST,Internship,7/17/2025
2543,Children's Program/Child & Family Clinic,https://membership.appic.org/directory/display/2647,"Portland, OR, USA",12/01/2025 11:59 PM EST,Internship,7/18/2025
2509,Christ Community Health Services/Behavioral Health,https://membership.appic.org/directory/display/2639,"Memphis, TN, USA",12/01/2025 11:59 PM EST,Internship,11/12/2025
1503,Cincinnati Children's Hospital Medical Center/O'Grady Residency in Psychology,https://membership.appic.org/directory/display/548,"Cincinnati, OH, USA",11/01/2025 11:59 PM EST,Internship,7/24/2025
1217,Citrus Health Network/Psychology Training Program,https://membership.appic.org/directory/display/543,"Miami, FL, USA",11/15/2025 11:59 PM EST,Internship,7/25/2025
2634,Clarity Child Guidance Center/Psychology/Outpatient,https://membership.appic.org/directory/display/3279,"San Antonio, TX USA, TX, USA",12/05/2025 11:59 PM EST,Internship,6/30/2025
2541,Clarity Clinic/Therapy,https://membership.appic.org/directory/display/2859,"CHICAGO, IL, USA",11/03/2025 11:59 PM EST,Internship,1/9/2026
2375,Cleveland Clinic Children's/Pediatric Behavioral Health,https://membership.appic.org/directory/display/1714,"Cleveland, OH, USA",11/01/2025 11:59 PM EST,Internship,7/31/2025
2656,"Clinical Alliance Services, LLC/Psychology Training",https://membership.appic.org/directory/display/3402,"Cambridge, MA, USA",12/05/2025 11:59 PM EST,Internship,12/4/2025
2653,Cognitive & Behavioral Consultants of Westchester and Manhattan/Clinical Training,https://membership.appic.org/directory/display/3360,"White Plains, NY, USA",11/03/2025 11:59 PM EST,Internship,9/12/2025
2324,Colorado Psychology Internship Consortium (CO-PIC)/Internship Consortium in Psychology,https://membership.appic.org/directory/display/1684,"Avon, CO, USA",11/21/2025 11:59 PM EST,Internship,9/30/2025
2530,Colorado School Psychology Internship Consortium/School Psychology,https://membership.appic.org/directory/display/2769,"Denver, CO, USA",12/15/2025 11:59 PM EST,Internship,7/30/2025
1465,Columbia University Irving Medical Center/NewYork-Presbyterian Hospital/Department of Psychiatry,https://membership.appic.org/directory/display/99,"New York, NY, USA",11/01/2025 11:59 PM EST,Internship,9/14/2025
2125,Columbia Valley Community Health /Behavioral Medicine Department ,https://membership.appic.org/directory/display/795,"Wenatchee, WA, USA",12/03/2025 11:59 PM EST,Internship,11/20/2025
2643,Community Institute for Psychotherapy/Internship ,https://membership.appic.org/directory/display/2683,"San Rafael , CA, USA",01/09/2026 11:59 PM EST,Internship,1/6/2026
2055,Community Services Institute/Springfield,https://membership.appic.org/directory/display/52,"Springfield , MA, USA",11/01/2025 11:59 PM EST,Internship,6/27/2025
2617,Connecticut Psychology Consortium/EASTCONN Advancing Consultation & Coaching to Empower Student Success (ACCESS) Team,https://membership.appic.org/directory/display/3169,"Hampton, CT, USA",12/01/2025 11:59 PM EST,Internship,11/4/2025
2134,Connections Internship Consortium/Clinical Training Department ,https://membership.appic.org/directory/display/473,"Libertyville, IL, USA",11/20/2025 11:59 PM EST,Internship,7/29/2025
2508,Cooper University Hospital/Behavioral Medicine,https://membership.appic.org/directory/display/2625,"Camden, NJ, USA",11/01/2025 11:59 PM EST,Internship,6/30/2025
1487,Creedmoor Psychiatric Center/Psychology Department,https://membership.appic.org/directory/display/2840,"Queens Village, NY, USA",11/01/2025 11:59 PM EST,Internship,7/31/2025
1578,Cypress-Fairbanks Independent School District/Psychological Services,https://membership.appic.org/directory/display/691,"Cypress, TX, USA",11/07/2025 11:59 PM EST,Internship,8/21/2025
2527,Dallas Children's Advocacy Center/Education and Training,https://membership.appic.org/directory/display/2675,"Dallas, TX, USA",12/07/2025 11:59 PM EST,Internship,11/21/2025
2564,Dallas County Juvenile Department/Dallas Count Juvenile Department,https://membership.appic.org/directory/display/2788,"Dallas, TX, USA",11/30/2025 11:59 PM EST,Internship,7/24/2025
2559,Deep Eddy Psychotherapy/Doctoral Internship,https://membership.appic.org/directory/display/2440,"Austin, TX, USA",11/21/2025 11:59 PM EST,Internship,11/18/2025
2110,Dell Medical School/Dell Children's Medical Center Psychology Internship Program/Department of Psychiatry and Behavioral Sciences ,https://membership.appic.org/directory/display/346,"Austin, TX, USA",11/01/2025 11:59 PM EST,Internship,11/19/2025
1173,Denver Health /Behavioral Health Services,https://membership.appic.org/directory/display/345,"Denver, CO, USA",11/01/2025 11:59 PM EST,Internship,9/22/2025
2224,Derner Internship Consortium/Derner School of Psychology,https://membership.appic.org/directory/display/881,"Garden City, NY, USA",11/12/2025 11:59 PM EST,Internship,1/12/2026
1548,Devereux /Institute of Clinical and ProfessionalTraining and Research,https://membership.appic.org/directory/display/79,"Villanova, PA, USA",11/01/2025 11:59 PM EST,Internship,7/22/2025
1947,Devereux Massachusetts/Devereux Massachusetts,https://membership.appic.org/directory/display/325,"Rutland, MA, USA",12/01/2025 11:59 PM EST,Internship,7/15/2025
1413,Duke University/Psychiatry & Behavioral Sciences,https://membership.appic.org/directory/display/205,"Durham, NC, USA",11/02/2025 11:59 PM EST,Internship,9/25/2025
2658,East Tennessee State University/Institute for Integrated Behavioral Health,https://membership.appic.org/directory/display/3412,"Johnson City, TN, USA",12/01/2025 11:59 PM EST,Internship,10/21/2025
2512,Easterseals Rehabilitation Center/Department of Psychology & Wellness,https://membership.appic.org/directory/display/2626,"Evansville, IN, USA",11/01/2025 11:59 PM EST,Internship,6/16/2025
2496,Family Programs Hawaii/Family Strengthening Center,https://membership.appic.org/directory/display/2462,"Honolulu, HI, USA",11/24/2025 11:59 PM EST,Internship,2/20/2026
1307,"Family Service and Guidance Center, Inc./Training and Education",https://membership.appic.org/directory/display/416,"Topeka, KS, USA",11/15/2025 11:59 PM EST,Internship,6/23/2025
1199,Faulk Center for Counseling (formerly Center for Group Counseling)/Psychology Internship Training,https://membership.appic.org/directory/display/440,"Boca Raton, FL, USA",12/01/2025 11:59 PM EST,Internship,7/28/2025
2581,Fayette County Public Schools/Department of Special Education,https://membership.appic.org/directory/display/2887,"Lexington, KY, USA",11/26/2025 11:59 PM EST,Internship,8/8/2025
1222,Federal Bureau of Prisons - FCI/FDC Tallahassee/ Psychology Services/Psychology ,https://membership.appic.org/directory/display/245,"Tallahassee, FL, USA",11/02/2025 11:59 PM EST,Internship,10/30/2025
1224,Florida State University/Florida State University Multidisciplinary Evaluation and Consulting Center (formerly Louise R. Goldhagen),https://membership.appic.org/directory/display/640,"Tallahassee, FL, USA",11/30/2025 11:59 PM EST,Internship,10/24/2025
1328,Franciscan Children's/Behavioral Health Services,https://membership.appic.org/directory/display/246,"Boston, MA, USA",11/10/2025 11:59 PM EST,Internship,10/10/2025
2369,Fraser/Behavioral and Mental Health,https://membership.appic.org/directory/display/1700,"Bloomington, MN, USA",11/07/2025 11:59 PM EST,Internship,7/9/2025
1530,Geisinger Medical Center/Department of Psychiatry,https://membership.appic.org/directory/display/49,"Danville, PA, USA",11/09/2025 11:59 PM EST,Internship,7/30/2025
2497,Genesis Counseling Center/Psychology,https://membership.appic.org/directory/display/2500,"Hampton, VA, USA",11/14/2025 11:59 PM EST,Internship,10/3/2025
2532,Greater Binghamton Health Center/Psychology Department,https://membership.appic.org/directory/display/2849,"Binghamton, NY, USA",12/01/2025 11:59 PM EST,Internship,9/23/2025
2540,Guam Psychology Internship Consortium/Internship Consortium in Clinical Psychology,https://membership.appic.org/directory/display/2891,"Tamuning, GU, USA",12/30/2025 11:59 PM EST,Internship,12/17/2025
2409,Guilford County Schools/Psychological Services,https://membership.appic.org/directory/display/2105,"Pleasant Garden, NC, USA",12/05/2025 11:59 PM EST,Internship,6/26/2025
2157,Hamilton-Madison House/Department of Behavioral Health Services,https://membership.appic.org/directory/display/413,"New York , NY, USA",11/15/2025 11:59 PM EST,Internship,8/18/2025
2501,Harbor Care Health And Wellness Center/Behavioral Health,https://membership.appic.org/directory/display/2458,"Nashua, NH, USA",12/09/2024 11:59 PM EST,Internship,9/23/2024
2000,Harris County Juvenile Probation Department/Forensic Unit,https://membership.appic.org/directory/display/662,"Houston, TX, USA",11/14/2025 11:59 PM EST,Internship,6/23/2025
2479,Harvard Medical School/Baker Center for Children and Families/Department of Psychology,https://membership.appic.org/directory/display/2336,"Boston, MA, USA",11/02/2025 11:59 PM EST,Internship,7/7/2025
1330,Harvard Medical School/Boston Children's Hospital/Department of Psychiatry and Behavioral Sciences,https://membership.appic.org/directory/display/164,"Boston, MA, USA",11/01/2025 11:59 PM EST,Internship,2/10/2026
1329,Harvard Medical School/Massachusetts General Hospital/Department of Psychiatry,https://membership.appic.org/directory/display/406,"Boston, MA, USA",11/01/2025 11:59 PM EST,Internship,9/12/2025
1323,Harvard Medical School/McLean Hospital/Psychology Department,https://membership.appic.org/directory/display/38,"Belmont, MA, USA",11/03/2025 11:59 PM EST,Internship,8/27/2025
2255,Hawaii Psychology Internship Consortium/Internship Consortium in Clinical Psychology,https://membership.appic.org/directory/display/1364,"Waimea, HI, USA",11/01/2025 11:59 PM EST,Internship,9/15/2025
2652,HealthRIGHT 360/SF BH Programs,https://membership.appic.org/directory/display/3392,"San Francisco, CA, USA",12/05/2025 11:59 PM EST,Internship,12/9/2025
1380,Hennepin Healthcare  (formerly Hennepin County Medical Center)/Psychiatry,https://membership.appic.org/directory/display/695,"Minneapolis, MN, USA",11/01/2025 11:59 PM EST,Internship,7/29/2025
1364,Henry Ford Health Sciences Center/Department of Psychiatry ,https://membership.appic.org/directory/display/558,"Detroit, MI, USA",11/07/2025 11:59 PM EST,Internship,10/30/2025
2406,High Plains Psychology Internship Consortium/High Plains Psychology Internship Consortium,https://membership.appic.org/directory/display/2334,"Greeley, CO, USA",12/01/2025 11:59 PM EST,Internship,7/29/2025
1276,Hoffman Estates Department of Health & Human Services/Health and Human Services Division,https://membership.appic.org/directory/display/101,"Hoffman Estates, IL, USA",11/07/2025 11:59 PM EST,Internship,10/13/2025
1961,Holcomb Behavioral Health Systems/Psychology,https://membership.appic.org/directory/display/342,"Exton, PA, USA",11/14/2025 11:59 PM EST,Internship,12/2/2025
1494,Hutchings Psychiatric Center/Psychology Department,https://membership.appic.org/directory/display/509,"Syracuse, NY, USA",11/07/2025 11:59 PM EST,Internship,7/15/2025
1474,Icahn School of Medicine at Mount Sinai /Rehabilitation Psychology/Neuropsychology Services,https://membership.appic.org/directory/display/400,"New York, NY, USA",11/21/2025 11:59 PM EST,Internship,11/7/2025
2558,Illinois Behavioral Health Group/Outpatient Behavioral Health,https://membership.appic.org/directory/display/2896,"Skokie, IL, USA",12/07/2025 11:59 PM EST,Internship,9/30/2025
1132,Illinois School Psychology Internship Consortium/The Chicago School,https://membership.appic.org/directory/display/625,"Chicago, IL, USA",11/21/2025 11:59 PM EST,Internship,9/16/2025
1992,Indian Health Board of Minneapolis/Indian Health Board of Minneapolis,https://membership.appic.org/directory/display/697,"Minneapolis, MN, USA",11/23/2025 11:59 PM EST,Internship,10/29/2025
2601,"Irby Psychological Services, LLC/Psychology",https://membership.appic.org/directory/display/3107,"Southaven, MS, USA",01/08/2027 11:59 PM EST,Internship,1/9/2026
1710,IU Health Ball Memorial Hospital/Family Medicine Residency Center,https://membership.appic.org/directory/display/2049,"Muncie, IN, USA",11/28/2025 11:59 PM EST,Internship,8/11/2025
2434,Jamaica hospital medical Center/Psychiatry,https://membership.appic.org/directory/display/2313,"Jamaica, NY, USA",11/14/2025 11:59 PM EST,Internship,12/15/2025
1780,JCFS Chicago (formerly Jewish Child and Family Services)/Psychological Services,https://membership.appic.org/directory/display/44,"Northbrook, IL, USA",11/01/2025 11:59 PM EST,Internship,7/27/2025
2575,Jersey Shore University Medical Center/Dept. of Psychiatry/Psychology Section,https://membership.appic.org/directory/display/1495,"Neptune, NJ, USA",11/30/2025 11:59 PM EST,Internship,11/14/2025
1482,Jewish Child Care Association/ JCCA/Psychology,https://membership.appic.org/directory/display/313,"Brooklyn, NY, USA",11/15/2025 11:59 PM EST,Internship,3/5/2026
2410,Johns Hopkins All Children's Hospital/Psychology Service,https://membership.appic.org/directory/display/2323,"St. Petersburg, FL, USA",11/15/2025 11:59 PM EST,Internship,7/25/2025
1669,Johns Hopkins University - Mental Health Services/Homewood Counseling Center,https://membership.appic.org/directory/display/379,"Baltimore, MD, USA",11/01/2024 11:59 PM EST,Internship,8/22/2025
2318,Jordan School District/Guidance,https://membership.appic.org/directory/display/1460,"West Jordan, UT, USA",11/21/2025 11:59 PM EST,Internship,11/14/2025
2514,"Kaiser Permanente Medical Center, Santa Rosa/Mental Health and Wellness",https://membership.appic.org/directory/display/2631,"Santa Rosa, CA, USA",11/03/2025 11:59 PM EST,Internship,12/4/2025
2574,Kaiser Permanente Napa-Solano/Department of Psychiatry,https://membership.appic.org/directory/display/2877,"Vallejo, CA, USA",11/01/2025 11:59 PM EST,Internship,7/30/2025
2459,Kaiser Permanente Oakland Psychology Internship/East Bay Medical Center Department of Psychiatry,https://membership.appic.org/directory/display/2513,"Oakland, CA, USA",11/09/2025 11:59 PM EST,Internship,8/29/2025
2633,Kaiser Permanente South Sacramento Psychology Internship/Department of Psychiatry,https://membership.appic.org/directory/display/3313,"Sacramento, CA, USA",12/12/2025 11:59 PM EST,Internship,7/31/2025
2114,Kaiser Permanente Walnut Creek /Mental Health & Addiction Medicine Recovery Services Department,https://membership.appic.org/directory/display/764,"Walnut Creek, CA, USA",11/07/2025 11:59 PM EST,Internship,7/29/2025
2627,"Kaiser Permanente West Bay Psychology Doctoral Internship Consortium/Departments of Psychiatry & Addiction Medicine in Redwood City and South San Francisco, CA",https://membership.appic.org/directory/display/3276,"Redwood City, CA, USA",12/12/2025 11:59 PM EST,Internship,8/21/2025
2421,Kansas City School Psychology Internship /NKC Schools,https://membership.appic.org/directory/display/2088,"Kansas City , MO, USA",11/23/2025 11:59 PM EST,Internship,6/30/2025
1344,Kennedy Krieger Institute/Johns Hopkins University School of Medicine/Behavioral Psychology and Neuropsychology,https://membership.appic.org/directory/display/774,"Baltimore, MD, USA",11/01/2025 11:59 PM EST,Internship,8/21/2025
2463,Kennedy Krieger Institute/Johns Hopkins University School of Medicine/Kennedy Krieger Institute/Johns Hopkins Center for Child and Family Traumatic Stress/Developmental and Behavioral Health,https://membership.appic.org/directory/display/2431,"Baltimore, MD, USA",11/03/2025 11:59 PM EST,Internship,9/11/2025
1450,Kings County Hospital/Behavioral Health - Department of Psychology,https://membership.appic.org/directory/display/4,"Brooklyn, NY, USA",11/15/2025 11:59 PM EST,Internship,7/21/2025
1277,Lake Forest College/Health & Wellness Center,https://membership.appic.org/directory/display/507,"Lake Forest , IL, USA",11/02/2025 11:59 PM EST,Internship,6/27/2025
1471,Lenox Hill  Hospital/Division of Psychological Services/Department of Psychiatry,https://membership.appic.org/directory/display/273,"New York, NY, USA",11/15/2025 11:59 PM EST,Internship,10/23/2025
1585,Lewisville Independent School District/Special Education,https://membership.appic.org/directory/display/74,"Lewisville, TX, USA",11/15/2025 11:59 PM EST,Internship,8/18/2025
2189,"Life Skills Psychological Services, PC/Internship Training",https://membership.appic.org/directory/display/468,"Cadillac, MI, USA",11/14/2025 11:59 PM EST,Internship,7/26/2025
1636,Lincoln Hills/Copper Lake Schools Internship in Health Service Psychology/Wisconsin Department of Corrections,https://membership.appic.org/directory/display/773,"Irma, WI, USA",,Internship,8/19/2025
1447,"Lincoln Medical and Mental Health Center/Department of  Psychiatry, UNIT 4-A",https://membership.appic.org/directory/display/479,"Bronx, NY, USA",11/15/2025 11:59 PM EST,Internship,10/24/2025
1645,Linden Oaks Behavioral Health/Doctoral Training Program,https://membership.appic.org/directory/display/1556,"Naperville, IL, USA",12/05/2025 11:59 PM EST,Internship,1/14/2026
1459,Long Island Jewish Medical Center -The Zucker Hillside Hospital/Psychological Services,https://membership.appic.org/directory/display/592,"Glen Oaks, NY, USA",11/01/2025 11:59 PM EST,Internship,6/19/2025
2412,Lorenz Clinic/Doctoral Internship in Health Service Psychology,https://membership.appic.org/directory/display/3032,"Minnetonka, MN, USA",01/02/2026 11:59 PM EST,Internship,1/6/2026
1213,Mailman Center for Child Development/U Miami School of Medicine/Department of Pediatrics,https://membership.appic.org/directory/display/25,"Miami, FL, USA",11/01/2025 11:59 PM EST,Internship,10/25/2025
2368,Marshall University Joan C. Edwards School of Medicine/Department of Psychiatry & Behavioral Medicine,https://membership.appic.org/directory/display/2194,"Huntington, WV, USA",12/01/2025 11:59 PM EST,Internship,7/31/2025
1627,Mendota Mental Health Institute/Department of Psychology and Research,https://membership.appic.org/directory/display/727,"Madison, WI, USA",11/02/2025 11:59 PM EST,Internship,7/18/2025
2235,Mental Health Center of Florida /Internship Training,https://membership.appic.org/directory/display/258,"Fort Lauderdale, FL, USA",11/07/2025 11:59 PM EST,Internship,8/25/2025
2591,"Metro Nashville Public Schools/Department of Exceptional Education, Psychological Services",https://membership.appic.org/directory/display/3023,"Nashville , TN, USA",12/08/2025 11:59 PM EST,Internship,10/6/2025
2297,MetroHealth Medical Center/Department Psychiatry,https://membership.appic.org/directory/display/1359,"Cleveland, OH, USA",11/01/2025 11:59 PM EST,Internship,10/8/2025
1216,Miami-Dade County/Community Services Department,https://membership.appic.org/directory/display/331,"Miami, FL, USA",11/17/2025 11:59 PM EST,Internship,7/30/2025
2447,Mid-Michigan Psychology Internship Consortium/Michigan State University,https://membership.appic.org/directory/display/2109,"East Lansing, MI, USA",11/15/2025 11:59 PM EST,Internship,11/14/2025
2050,"Mid-Ohio Psychological Services, Inc./Mid Ohio Psychological Services",https://membership.appic.org/directory/display/281,"Columbus , OH, USA",11/21/2025 11:59 PM EST,Internship,10/21/2025
